Name,Description,North,South,East,West,X,Y
Rij Lowlands,Dit is de rij van Lowlands,Bagagecheck,,,,0,0
Bagagecheck,Dit is de bagagecheck,Plein Bagagecheck,Rij Lowlands,,,0,1
Plein Bagagecheck,Dit is het plein van de bagagecheck. Je kan hier koffie halen.,,Bagagecheck,,Gebied voor brug,0,2
Gebied voor brug,Dit is het gebied voor de brug.,Lowlands Brug,,Plein Bagagecheck,Camping 5 Oost,-1,2
Lowlands Brug,Dit is de wijlen Lowlands brug. Geen glooiend heuveltje voor jou.,Na de brug,Gebied voor brug,,,-1,3
Camping 5 Oost,Dit is het oostelijke gedeelte van Camping 5.,,,Gebied voor brug,Camping 5 West,-1,5
Camping 5 West,Dit is het westelijke gedeelte van Camping 5.,,,Camping 5 Oost,Camping 6 Oost,-2,2
Camping 6 Oost,Dit is het oostelijke gedeelte van Camping 6.,,,Camping 5 West,Camping 6 West,-3,2
Camping 6 West,Dit is het westelijke gedeelte van Camping 6.,,,,,-4,2
Na de brug,Dit is het gebied na de brug. Je hebt het gered. Poe poe nou nou.,Hoofdpad Camping 1,Lowlands Brug,EHBO + Hema,Camping 4 Zuid,-1,4
Hoofdpad Camping 1,Dit is het eerste gedeelte van het hoofdpad,Hoofdpad Camping (Peuken - Munten),Na de brug,Kampeergebied voor festivalterrein 1,Camping 4 Noord,-1,5
Hoofdpad Camping (Peuken - Munten),Dit is het tweede gedeelte van het hoofdpad. Hier zijn de peuken en munten.,Hoofdpad Camping (Lockers),Hoofdpad Camping 1,Terreiningang Zuid,Camping 3 Zuid,-1,6
Hoofdpad Camping (Lockers),Dit is het gedeelte van het hoofdpad met de lockers.,Hoofdpad Camping 2,Hoofdpad Camping (Peuken - Munten),Kampeergebied voor festivalterrein 2,Camping 3 Noord,-1,7
EHBO + Hema,Hier is de EHBO en de campingwinkel. Je kan ook hier je pokkie opladen.,Kampeergebied voor festivalterrein 1,,,Na de brug,0,4
Kampeergebied voor festivalterrein 1,Dit is dat rare kampeergebied waar kaolovage mensen zitten voor de bravo.,Terreiningang Zuid,EHBO + Hema,,Hoofdpad Camping 1,0,5
Terreiningang Zuid,Dit is de ingang van het terrein.,Kampeergebied voor festivalterrein 2,Kampeergebied voor festivalterrein 1,Merchandise - Oorbescherming,Hoofdpad Camping (Peuken - Munten),0,6
Kampeergebied voor festivalterrein 2,Dit is het tweede gedeelte van dat rare kampeergebied.,Kampeergebied voor festivalterrein 3,Terreiningang Zuid,,Hoofdpad Camping (Lockers),0,7
Camping 4 Zuid,Dit is het zuiden van camping 4.,Camping 4 Noord,,Na de brug,,-2,4
Camping 4 Noord,Dit is het noorden van camping 4.,Camping 3 Zuid,Camping 4 Zuid,Hoofdpad Camping 1,,-2,5
Camping 3 Zuid,Dit is het zuiden van camping 3.,Camping 3 Noord,Camping 4 Noord,Hoofdpad Camping (Peuken - Munten),,-2,6
Camping 3 Noord,Dit is het noorden van camping 3.,Camping 2 Zuid,Camping 3 Zuid,Hoofdpad Camping (Lockers),,-2,7
Hoofdpad Camping 2,Dit is het hoofdpad van de camping na de lockers.,Hoofdpad Camping 3,Hoofdpad Camping (Lockers),Kampeergebied voor festivalterrein 3,Camping 2 Zuid,-1,8
Hoofdpad Camping 3,Dit is het stuk van het hoofdpad dat bijna bij terreiningang noord is,Hoofdpad Camping 4,Hoofdpad Camping 2,Kampeergebied voor festivalterrein 4,Camping 2 Noord,-1,9
Hoofdpad Camping 4,Dit is het gedeelte bij de noordelijke ingang van het terrein.,Hoofdpad Camping 5,Hoofdpad Camping 3,Terreiningang Noord,,-1,10
Hoofdpad Camping 5,Je loopt nu voorbij de noordelijke ingang. Waar ga je heen?,,Hoofdpad Camping 4,,Camping 1 Zuid,-1,11
Kampeergebied voor festivalterrein 3,Nog meer vaag kampeergebied,Kampeergebied voor festivalterrein 4,Kampeergebied voor festivalterrein 2,,Hoofdpad Camping 2,0,8
Kampeergebied voor festivalterrein 4,En noooooooooogggg meer vaag kampeergebied,Terreiningang Noord,Kampeergebied voor festivalterrein 3,,Hoofdpad Camping 3,0,9
Terreiningang Noord,Dit is het noordelijke terreiningang. Heb je je drugs weggestopt?,,Kampeergebied voor festivalterrein 4,,Hoofdpad Camping 4,0,10
Camping 2 Zuid,Dit is het zuiden van Camping 2,Camping 2 Noord,,Hoofdpad Camping 2,,-2,9
Camping 2 Noord,Dit is het noorden van Camping 2,,Camping 2 Zuid,Hoofdpad Camping 3,,-2,10
Camping 1 Zuid,Dit is het zuiden van Camping 1,,,,,-2,12
Camping 1 Noord,Dit is het noorden van Camping 1,,,,,-2,13
Hoofdpad Camping 6,Dit is niemandsland. Je loopt langs de Heineken.,Hoofdpad Camping 7,Hoofdpad Camping 5,,Camping 1 Noord,-1,12
Hoofdpad Camping 7,Langzamerhand loop je de brug over. Aan je linkerhand zie je tentjes op de meest onwaarschijnlijke posities.,Hoofdpad Camping 8,Hoofdpad Camping 6,,,-1,13
Hoofdpad Camping 8,"Niemand weet wat hier is, behalve boomers.",,Hoofdpad Camping 7,,,-1,14
